relative_delay_us,normalized_magnitude,magnitude_db,smoothed_magnitude
-3.632000000000000000e+03,4.039210081100463867e-02,-2.787407112121582031e+01,1.895380989216828294e-01
-3.628000000000000000e+03,7.256557792425155640e-02,-2.278538703918457031e+01,2.177521811171385935e-01
-3.624000000000000000e+03,1.833906769752502441e-01,-1.473245525360107422e+01,1.864025477980025547e-01
-3.620000000000000000e+03,1.805940270423889160e-01,-1.486593246459960938e+01,2.213572649059503961e-01
-3.616000000000000000e+03,1.869914233684539795e-01,-1.456356620788574219e+01,2.420270376846178628e-01
-3.612000000000000000e+03,1.648947894573211670e-01,-1.565586090087890625e+01,2.242362585200929626e-01
-3.608000000000000000e+03,1.461877524852752686e-01,-1.670177841186523438e+01,2.224286084851383738e-01
-3.604000000000000000e+03,1.200229823589324951e-01,-1.841471099853515625e+01,2.113089730221447138e-01
-3.600000000000000000e+03,1.741554886102676392e-01,-1.518125629425048828e+01,2.140018541919651851e-01
-3.596000000000000000e+03,1.473851948976516724e-01,-1.663092231750488281e+01,2.154201225124033892e-01
-3.592000000000000000e+03,1.744863688945770264e-01,-1.516477012634277344e+01,2.327198968321358696e-01
-3.588000000000000000e+03,1.512393802404403687e-01,-1.640670394897460938e+01,2.141966893824329421e-01
-3.584000000000000000e+03,1.816418021917343140e-01,-1.481568336486816406e+01,1.936917053852076354e-01
-3.580000000000000000e+03,1.081790104508399963e-01,-1.931713867187500000e+01,1.914191016039016313e-01
-3.576000000000000000e+03,7.434996962547302246e-02,-2.257438468933105469e+01,1.963024923355473350e-01
-3.572000000000000000e+03,1.663917452096939087e-01,-1.557736396789550781e+01,1.915769728502108860e-01
-3.568000000000000000e+03,1.686331778764724731e-01,-1.546113967895507812e+01,1.688054366075547597e-01
-3.564000000000000000e+03,1.648103147745132446e-01,-1.566031265258789062e+01,1.858561922132193067e-01
-3.560000000000000000e+03,2.707071602344512939e-02,-3.135000419616699219e+01,1.595977727132756319e-01
-3.556000000000000000e+03,1.350818276405334473e-01,-1.738806152343750000e+01,1.440395438184984278e-01
-3.552000000000000000e+03,7.286377251148223877e-02,-2.274976730346679688e+01,1.077779846738205621e-01
-3.548000000000000000e+03,1.132174432277679443e-01,-1.892173385620117188e+01,1.259357508957308358e-01
-3.544000000000000000e+03,3.565287962555885315e-02,-2.895810890197753906e+01,1.457665481955323639e-01
-3.540000000000000000e+03,9.174555540084838867e-02,-2.074830055236816406e+01,1.645014213430144312e-01
-3.536000000000000000e+03,2.057157158851623535e-01,-1.373465061187744141e+01,1.747330017605194796e-01
-3.532000000000000000e+03,1.395941674709320068e-01,-1.710265350341796875e+01,2.216378340229238353e-01
-3.528000000000000000e+03,1.496605724096298218e-01,-1.649785232543945312e+01,2.181725986552914553e-01
-3.524000000000000000e+03,2.027198225259780884e-01,-1.386207580566406250e+01,1.895381240231106268e-01
-3.520000000000000000e+03,7.940298318862915039e-02,-2.200326538085937500e+01,1.740290479074537988e-01
-3.516000000000000000e+03,1.037246435880661011e-01,-1.968236160278320312e+01,1.859021612945858382e-01
-3.512000000000000000e+03,8.435350656509399414e-02,-2.147793769836425781e+01,1.530304778019483669e-01
-3.508000000000000000e+03,1.919505596160888672e-01,-1.433621215820312500e+01,1.374206403717018188e-01
-3.504000000000000000e+03,8.563654124736785889e-02,-2.134681701660156250e+01,1.470421975247024615e-01
-3.500000000000000000e+03,2.380342781543731689e-02,-3.246720886230468750e+01,1.726765536948827451e-01
-3.496000000000000000e+03,1.379949748516082764e-01,-1.720273590087890625e+01,1.554911665814410204e-01
-3.492000000000000000e+03,1.756586730480194092e-01,-1.510660934448242188e+01,1.833349462392617757e-01
-3.488000000000000000e+03,1.307391673326492310e-01,-1.767188644409179688e+01,2.362417903057881519e-01
-3.484000000000000000e+03,1.848112940788269043e-01,-1.466543006896972656e+01,2.151218192367194137e-01
-3.480000000000000000e+03,2.122485041618347168e-01,-1.346310710906982422e+01,1.831096996231730278e-01
-3.476000000000000000e+03,6.276927143335342407e-02,-2.404505729675292969e+01,2.047998391648243044e-01
-3.472000000000000000e+03,6.163701042532920837e-02,-2.420316886901855469e+01,1.814714758584387577e-01
-3.468000000000000000e+03,2.079957127571105957e-01,-1.363891220092773438e+01,1.366210605378084808e-01
-3.464000000000000000e+03,1.017196774482727051e-01,-1.985190010070800781e+01,1.328804489110700093e-01
-3.460000000000000000e+03,5.249904096126556396e-02,-2.559697151184082031e+01,1.215096156163112118e-01
-3.456000000000000000e+03,4.944585636258125305e-02,-2.611740112304687500e+01,8.757236814822691451e-02
-3.452000000000000000e+03,2.113605849444866180e-02,-3.349951934814453125e+01,8.687487268334467827e-02
-3.448000000000000000e+03,8.711707592010498047e-02,-2.119793319702148438e+01,9.013312376947471560e-02
-3.444000000000000000e+03,9.923531860113143921e-02,-2.006667327880859375e+01,1.396034349051165080e-01
-3.440000000000000000e+03,6.410437077283859253e-02,-2.386224746704101562e+01,1.402295534142775635e-01
-3.436000000000000000e+03,2.256505936384201050e-01,-1.293127059936523438e+01,1.573914037556253809e-01
-3.432000000000000000e+03,2.336618490517139435e-02,-3.262824249267578125e+01,1.531373790303568461e-01
-3.428000000000000000e+03,1.482446342706680298e-01,-1.658042144775390625e+01,1.584323641482985878e-01
-3.424000000000000000e+03,8.408321440219879150e-02,-2.150581359863281250e+01,1.371293053569525300e-01
-3.420000000000000000e+03,8.296419680118560791e-02,-2.162218475341796875e+01,1.858143523167189171e-01
-3.416000000000000000e+03,1.497727632522583008e-01,-1.649134254455566406e+01,1.908702902627694431e-01
-3.412000000000000000e+03,1.967739462852478027e-01,-1.412064743041992188e+01,1.992237504786765201e-01
-3.408000000000000000e+03,1.662530153989791870e-01,-1.558460998535156250e+01,2.236119211664098494e-01
-3.404000000000000000e+03,1.138368025422096252e-01,-1.887434577941894531e+01,2.245562870815010770e-01
-3.400000000000000000e+03,1.698306649923324585e-01,-1.539967727661132812e+01,1.875526826671355674e-01
-3.396000000000000000e+03,1.531364321708679199e-01,-1.629842948913574219e+01,1.749457353148711480e-01
-3.392000000000000000e+03,6.497347354888916016e-02,-2.374527931213378906e+01,1.953642428016863497e-01
-3.388000000000000000e+03,1.213492378592491150e-01,-1.831925964355468750e+01,1.907978245326192868e-01
-3.384000000000000000e+03,1.865640133619308472e-01,-1.458344268798828125e+01,1.822140377991810500e-01
-3.380000000000000000e+03,1.535658687353134155e-01,-1.627410697937011719e+01,1.910828575201622137e-01
-3.376000000000000000e+03,1.225624606013298035e-01,-1.823285102844238281e+01,2.272264807442000711e-01
-3.372000000000000000e+03,9.656268358230590820e-02,-2.030381393432617188e+01,2.206962188059576890e-01
-3.368000000000000000e+03,2.500866055488586426e-01,-1.203819179534912109e+01,2.091008631758901892e-01
-3.364000000000000000e+03,1.633043438196182251e-01,-1.574004554748535156e+01,1.924744074625382440e-01
-3.360000000000000000e+03,1.122652068734169006e-01,-1.899509620666503906e+01,1.947364184413306332e-01
-3.356000000000000000e+03,6.334188580513000488e-02,-2.396618080139160156e+01,1.851367078976215996e-01
-3.352000000000000000e+03,1.046195775270462036e-01,-1.960774040222167969e+01,1.584368546891351537e-01
-3.348000000000000000e+03,2.158940881490707397e-01,-1.331518554687500000e+01,1.580224740443580134e-01
-3.344000000000000000e+03,6.820406019687652588e-02,-2.332379531860351562e+01,1.551351551233425830e-01
-3.340000000000000000e+03,1.107892543077468872e-01,-1.911004829406738281e+01,1.464755286095064390e-01
-3.336000000000000000e+03,5.305775254964828491e-02,-2.550502395629882812e+01,1.175751984805894629e-01
-3.332000000000000000e+03,7.377547770738601685e-02,-2.264175796508789062e+01,1.215948741845286757e-01
-3.328000000000000000e+03,1.129560843110084534e-01,-1.894180679321289062e+01,1.257416426007751942e-01
-3.324000000000000000e+03,8.252145349979400635e-02,-2.166866302490234375e+01,1.705004690868754391e-01
-3.320000000000000000e+03,1.255593299865722656e-01,-1.802301979064941406e+01,1.638261082190200224e-01
-3.316000000000000000e+03,2.124809920787811279e-01,-1.345359802246093750e+01,1.476934739398334251e-01
-3.312000000000000000e+03,5.000255256891250610e-02,-2.602015686035156250e+01,1.620267406093326423e-01
-3.308000000000000000e+03,5.549441650509834290e-02,-2.511501312255859375e+01,1.948750839577269300e-01
-3.304000000000000000e+03,1.335740834474563599e-01,-1.748555755615234375e+01,1.719852886135484760e-01
-3.300000000000000000e+03,2.425594776868820190e-01,-1.230363464355468750e+01,2.539090756752104827e-01
-3.296000000000000000e+03,1.309514790773391724e-01,-1.765779304504394531e+01,2.791490622680004030e-01
-3.292000000000000000e+03,3.418009877204895020e-01,-9.324533462524414062e+00,2.788383735295036914e-01
-3.288000000000000000e+03,1.453949064016342163e-01,-1.674901580810546875e+01,2.568164056636126902e-01
-3.284000000000000000e+03,1.324674636125564575e-01,-1.755781555175781250e+01,2.401188417889951188e-01
-3.280000000000000000e+03,1.641210168600082397e-01,-1.569671630859375000e+01,1.566612298924278113e-01
-3.276000000000000000e+03,7.147762924432754517e-02,-2.291659927368164062e+01,1.691384844428263923e-01
-3.272000000000000000e+03,4.453933238983154297e-02,-2.702512550354003906e+01,1.596284989526363940e-01
-3.268000000000000000e+03,1.898367404937744141e-01,-1.443239402770996094e+01,1.847537856171814763e-01
-3.264000000000000000e+03,9.859453141689300537e-02,-2.012294387817382812e+01,1.769253343135355760e-01
-3.260000000000000000e+03,2.536129653453826904e-01,-1.191657066345214844e+01,2.007937422874090660e-01
-3.256000000000000000e+03,4.359403252601623535e-02,-2.721145820617675781e+01,1.775656194409872546e-01
-3.252000000000000000e+03,1.295544952154159546e-01,-1.775094985961914062e+01,1.791502558410306700e-01
-3.248000000000000000e+03,1.071021631360054016e-01,-1.940403366088867188e+01,1.584049173058850735e-01
-3.244000000000000000e+03,1.042387336492538452e-01,-1.963941764831542969e+01,1.907434590236679051e-01
-3.240000000000000000e+03,1.797216385602951050e-01,-1.490799331665039062e+01,2.152322069488540879e-01
-3.236000000000000000e+03,1.587783545255661011e-01,-1.598417377471923828e+01,1.988735500011039048e-01
-3.232000000000000000e+03,2.167792022228240967e-01,-1.327964782714843750e+01,1.916161833721536922e-01
-3.228000000000000000e+03,4.883544147014617920e-02,-2.622529792785644531e+01,1.537399393266211112e-01
-3.224000000000000000e+03,7.838924229145050049e-02,-2.211487007141113281e+01,1.494091272420568772e-01
-3.220000000000000000e+03,4.481297358870506287e-02,-2.697192382812500000e+01,1.064969584096462918e-01
-3.216000000000000000e+03,1.433527469635009766e-01,-1.687187957763671875e+01,1.711072678638058397e-01
-3.212000000000000000e+03,6.393343955278396606e-02,-2.388543891906738281e+01,1.719199746985235477e-01
-3.208000000000000000e+03,2.789662480354309082e-01,-1.108896732330322266e+01,1.989691989915737536e-01
-3.204000000000000000e+03,8.128396421670913696e-02,-2.179990386962890625e+01,1.654198271523403263e-01
-3.200000000000000000e+03,1.411576569080352783e-01,-1.700591087341308594e+01,1.850405443278826945e-01
-3.196000000000000000e+03,2.385565638542175293e-02,-3.244817352294921875e+01,1.201959517436416852e-01
-3.192000000000000000e+03,1.338190585374832153e-01,-1.746964073181152344e+01,1.582115223098348455e-01
-3.188000000000000000e+03,4.800096526741981506e-02,-2.637500000000000000e+01,1.723822321331767160e-01
-3.184000000000000000e+03,2.166888862848281860e-01,-1.328326702117919922e+01,2.015324867193465375e-01
-3.180000000000000000e+03,1.916312873363494873e-01,-1.435067176818847656e+01,1.989787385800143860e-01
-3.176000000000000000e+03,1.276838481426239014e-01,-1.787728118896484375e+01,2.195650899012083213e-01
-3.172000000000000000e+03,1.247230470180511475e-01,-1.808106613159179688e+01,1.999271887065803277e-01
-3.168000000000000000e+03,1.213260069489479065e-01,-1.832092094421386719e+01,1.827294977099661322e-01
-3.164000000000000000e+03,1.467420607805252075e-01,-1.666890907287597656e+01,1.526426074025615531e-01
-3.160000000000000000e+03,1.303760707378387451e-01,-1.769604110717773438e+01,1.499273420345383634e-01
-3.156000000000000000e+03,2.051952108740806580e-02,-3.375665664672851562e+01,1.603313378839524850e-01
-3.152000000000000000e+03,1.150517389178276062e-01,-1.878213691711425781e+01,1.409236209654317062e-01
-3.148000000000000000e+03,1.583832502365112305e-01,-1.600581550598144531e+01,1.200582714582848487e-01
-3.144000000000000000e+03,7.761511206626892090e-02,-2.220107650756835938e+01,1.613331902521795980e-01
-3.140000000000000000e+03,5.605728551745414734e-02,-2.502735900878906250e+01,1.452240937909797525e-01
-3.136000000000000000e+03,1.675336807966232300e-01,-1.551795768737792969e+01,1.521246729093567174e-01
-3.132000000000000000e+03,5.767390877008438110e-02,-2.478041076660156250e+01,1.586837115427374156e-01
-3.128000000000000000e+03,1.829619258642196655e-01,-1.475278663635253906e+01,1.825172965150614890e-01
-3.124000000000000000e+03,1.009772792458534241e-01,-1.991552734375000000e+01,1.576347197390746135e-01
-3.120000000000000000e+03,1.409484148025512695e-01,-1.701879692077636719e+01,1.688500272021802306e-01
-3.116000000000000000e+03,7.890622317790985107e-02,-2.205777359008789062e+01,1.679074351213172556e-01
-3.112000000000000000e+03,9.762090444564819336e-02,-2.020914268493652344e+01,1.877666911648387671e-01
-3.108000000000000000e+03,1.796045750379562378e-01,-1.491365242004394531e+01,1.899244391798692311e-01
-3.104000000000000000e+03,1.717125326395034790e-01,-1.530395984649658203e+01,2.019336650590160542e-01
-3.100000000000000000e+03,1.486339420080184937e-01,-1.655764007568359375e+01,2.225428241650061478e-01
-3.096000000000000000e+03,1.216810196638107300e-01,-1.829554367065429688e+01,1.882607270070328909e-01
-3.092000000000000000e+03,1.710271835327148438e-01,-1.533869743347167969e+01,1.610068811043680048e-01
-3.088000000000000000e+03,5.749764293432235718e-02,-2.480699920654296875e+01,1.557930509941517772e-01
-3.084000000000000000e+03,7.463902235031127930e-02,-2.254068183898925781e+01,1.603176628352887823e-01
-3.080000000000000000e+03,1.300631761550903320e-01,-1.771691322326660156e+01,1.538517693249590867e-01
-3.076000000000000000e+03,1.377969086170196533e-01,-1.721521186828613281e+01,1.824697000244620837e-01
-3.072000000000000000e+03,1.479967832565307617e-01,-1.659495544433593750e+01,1.716694457152189157e-01
-3.068000000000000000e+03,1.594297885894775391e-01,-1.594861030578613281e+01,1.865870861736256825e-01
-3.064000000000000000e+03,3.617037460207939148e-02,-2.883294105529785156e+01,1.571313670836111953e-01
-3.060000000000000000e+03,1.831972450017929077e-01,-1.474162101745605469e+01,1.260225066595247190e-01
-3.056000000000000000e+03,3.288070484995841980e-02,-2.966117858886718750e+01,1.241877177975930918e-01
-3.052000000000000000e+03,3.719237446784973145e-02,-2.859092330932617188e+01,1.665010575563862782e-01
-3.048000000000000000e+03,1.528945863246917725e-01,-1.631215858459472656e+01,1.749862312390936814e-01
-3.044000000000000000e+03,1.868832111358642578e-01,-1.456859397888183594e+01,2.316677788548244521e-01
-3.040000000000000000e+03,2.134199738502502441e-01,-1.341529846191406250e+01,2.698221163890178187e-01
